Level,Test,Race,School,Value
Proficient,Math,Two + races,Open Choice,NA
Proficient,Math,Two + races,OCn,NA
Goal,Writing,Latino/Hisp ,HPS Regular,24.8
Goal,Writing,Latino/Hisp ,HREGn,3593
Goal,Writing,Latino/Hisp ,Hartford Magnet,42.5
Goal,Writing,Latino/Hisp ,HMn,917
Goal,Writing,Latino/Hisp ,CREC Magnet ,41.2
Goal,Writing,Latino/Hisp ,CRn,289
Goal,Writing,Latino/Hisp ,Open Choice,45
Goal,Writing,Latino/Hisp ,OCn,289
Goal,Writing,Native Amer.,HPS Regular,NA
Goal,Writing,Native Amer.,HREGn,NA
Goal,Writing,Native Amer.,Hartford Magnet,NA
Goal,Writing,Native Amer.,HMn,NA
Goal,Writing,Native Amer.,CREC Magnet ,NA
Goal,Writing,Native Amer.,CRn,NA
Goal,Writing,Native Amer.,Open Choice,NA
Goal,Writing,Native Amer.,OCn,NA
Goal,Writing,African Amer.,HPS Regular,35.1
Goal,Writing,African Amer.,HREGn,2090
Goal,Writing,African Amer.,Hartford Magnet,43.3
Goal,Writing,African Amer.,HMn,719
Goal,Writing,African Amer.,CREC Magnet ,51.6
Goal,Writing,African Amer.,CRn,304
Goal,Writing,African Amer.,Open Choice,42.8
Goal,Writing,African Amer.,OCn,549
Goal,Writing,Asian,HPS Regular,36.5
Goal,Writing,Asian,HREGn,126
Goal,Writing,Asian,Hartford Magnet,52.9
Goal,Writing,Asian,HMn,34
Goal,Writing,Asian,CREC Magnet ,NA
Goal,Writing,Asian,CRn,NA
Goal,Writing,Asian,Open Choice,NA
Goal,Writing,Asian,OCn,NA
Goal,Writing,Hawaiian/Pacific,HPS Regular,NA
Goal,Writing,Hawaiian/Pacific,HREGn,NA
Goal,Writing,Hawaiian/Pacific,Hartford Magnet,NA
Goal,Writing,Hawaiian/Pacific,HMn,NA
Goal,Writing,Hawaiian/Pacific,CREC Magnet ,NA
Goal,Writing,Hawaiian/Pacific,CRn,NA
Goal,Writing,Hawaiian/Pacific,Open Choice,NA
Goal,Writing,Hawaiian/Pacific,OCn,NA
Goal,Writing,White,HPS Regular,46.1
Goal,Writing,White,HREGn,245
Goal,Writing,White,Hartford Magnet,68.1
Goal,Writing,White,HMn,113
Goal,Writing,White,CREC Magnet ,NA
Goal,Writing,White,CRn,NA
Goal,Writing,White,Open Choice,NA
Goal,Writing,White,OCn,NA
Goal,Writing,Two + races,HPS Regular,27.5
Goal,Writing,Two + races,HREGn,138
Goal,Writing,Two + races,Hartford Magnet,59
Goal,Writing,Two + races,HMn,39
Goal,Writing,Two + races,CREC Magnet ,NA
Goal,Writing,Two + races,CRn,NA
Goal,Writing,Two + races,Open Choice,NA
Goal,Writing,Two + races,OCn,NA
Goal,Science,Latino/Hisp ,HPS Regular,12.8
Goal,Science,Latino/Hisp ,HREGn,1493
Goal,Science,Latino/Hisp ,Hartford Magnet,31.5
Goal,Science,Latino/Hisp ,HMn,340
Goal,Science,Latino/Hisp ,CREC Magnet ,24.3
Goal,Science,Latino/Hisp ,CRn,111
Goal,Science,Latino/Hisp ,Open Choice,36
Goal,Science,Latino/Hisp ,OCn,111
Goal,Science,Native Amer.,HPS Regular,NA
Goal,Science,Native Amer.,HREGn,NA
Goal,Science,Native Amer.,Hartford Magnet,NA
Goal,Science,Native Amer.,HMn,NA
Goal,Science,Native Amer.,CREC Magnet ,NA
Goal,Science,Native Amer.,CRn,NA
Goal,Science,Native Amer.,Open Choice,NA
Goal,Science,Native Amer.,OCn,NA
Goal,Science,African Amer.,HPS Regular,15.1
Goal,Science,African Amer.,HREGn,906
Goal,Science,African Amer.,Hartford Magnet,31.8
Goal,Science,African Amer.,HMn,299
Goal,Science,African Amer.,CREC Magnet ,23.3
Goal,Science,African Amer.,CRn,129
Goal,Science,African Amer.,Open Choice,27.8
Goal,Science,African Amer.,OCn,216
Goal,Science,Asian,HPS Regular,8.7
Goal,Science,Asian,HREGn,69
Goal,Science,Asian,Hartford Magnet,NA
Goal,Science,Asian,HMn,NA
Goal,Science,Asian,CREC Magnet ,NA
Goal,Science,Asian,CRn,NA
Goal,Science,Asian,Open Choice,NA
Goal,Science,Asian,OCn,NA
Goal,Science,Hawaiian/Pacific,HPS Regular,NA
Goal,Science,Hawaiian/Pacific,HREGn,NA
Goal,Science,Hawaiian/Pacific,Hartford Magnet,NA
Goal,Science,Hawaiian/Pacific,HMn,NA
Goal,Science,Hawaiian/Pacific,CREC Magnet ,NA
Goal,Science,Hawaiian/Pacific,CRn,NA
Goal,Science,Hawaiian/Pacific,Open Choice,NA
Goal,Science,Hawaiian/Pacific,OCn,NA
Goal,Science,White,HPS Regular,26.3
Goal,Science,White,HREGn,99
Goal,Science,White,Hartford Magnet,51.2
Goal,Science,White,HMn,43
Goal,Science,White,CREC Magnet ,NA
Goal,Science,White,CRn,NA
Goal,Science,White,Open Choice,NA
Goal,Science,White,OCn,NA
Goal,Science,Two + races,HPS Regular,12.3
Goal,Science,Two + races,HREGn,65
Goal,Science,Two + races,Hartford Magnet,54.2
Goal,Science,Two + races,HMn,24
Goal,Science,Two + races,CREC Magnet ,NA
Goal,Science,Two + races,CRn,NA
Goal,Science,Two + races,Open Choice,NA
Goal,Science,Two + races,OCn,NA
Proficient,Writing,Latino/Hisp ,HPS Regular,55.7
Proficient,Writing,Latino/Hisp ,HREGn,3593
Proficient,Writing,Latino/Hisp ,Hartford Magnet,75
Proficient,Writing,Latino/Hisp ,HMn,917
Proficient,Writing,Latino/Hisp ,CREC Magnet ,75.8
Proficient,Writing,Latino/Hisp ,CRn,289
Proficient,Writing,Latino/Hisp ,Open Choice,76.5
Proficient,Writing,Latino/Hisp ,OCn,289
Proficient,Writing,Native Amer.,HPS Regular,NA
Proficient,Writing,Native Amer.,HREGn,NA
Proficient,Writing,Native Amer.,Hartford Magnet,NA
Proficient,Writing,Native Amer.,HMn,NA
Proficient,Writing,Native Amer.,CREC Magnet ,NA
Proficient,Writing,Native Amer.,CRn,NA
Proficient,Writing,Native Amer.,Open Choice,NA
Proficient,Writing,Native Amer.,OCn,NA
Proficient,Writing,African Amer.,HPS Regular,67.7
Proficient,Writing,African Amer.,HREGn,2090
Proficient,Writing,African Amer.,Hartford Magnet,77.1
Proficient,Writing,African Amer.,HMn,719
Proficient,Writing,African Amer.,CREC Magnet ,78.6
Proficient,Writing,African Amer.,CRn,304
Proficient,Writing,African Amer.,Open Choice,74.5
Proficient,Writing,African Amer.,OCn,549
Proficient,Writing,Asian,HPS Regular,57.1
Proficient,Writing,Asian,HREGn,126
Proficient,Writing,Asian,Hartford Magnet,82.4
Proficient,Writing,Asian,HMn,34
Proficient,Writing,Asian,CREC Magnet ,NA
Proficient,Writing,Asian,CRn,NA
Proficient,Writing,Asian,Open Choice,NA
Proficient,Writing,Asian,OCn,NA
Proficient,Writing,Hawaiian/Pacific,HPS Regular,NA
