District ID,District Name,School Year,Number Eligible for Free/ Reduced Price Lunch,Total Enrollment,Percent Eligible for Free/ Reduced Lunch
63,Hampton School District,2007-08,11,166,6.6
64,Hartford School District,2007-08,21686,22255,97.4
65,Hartland School District,2007-08,2,235,0.9
67,Hebron School District,2007-08,48,1204,4
286,Highville Charter School District,2007-08,133,277,48
264,Integrated Day Charter School District,2007-08,74,330,22.4
265,Interdistrict School for Arts and Comm District,2007-08,109,181,60.2
261,Jumoke Academy District,2007-08,369,369,100
68,Kent School District,2007-08,21,257,8.2
69,Killingly School District,2007-08,942,2637,35.7
245,Learn,2007-08,434,1043,41.6
71,Lebanon School District,2007-08,132,1522,8.7
72,Ledyard School District,2007-08,325,2872,11.3
73,Lisbon School District,2007-08,75,575,13
74,Litchfield School District,2007-08,75,1211,6.2
76,Madison School District,2007-08,47,3770,1.2
77,Manchester School District,2007-08,2415,6695,36.1
78,Mansfield School District,2007-08,188,1301,14.5
79,Marlborough School District,2007-08,23,660,3.5
80,Meriden School District,2007-08,4923,8812,55.9
83,Middletown School District,2007-08,1629,5019,32.5
84,Milford School District,2007-08,1053,7384,14.3
85,Monroe School District,2007-08,133,4221,3.2
86,Montville School District,2007-08,449,2836,15.8
88,Naugatuck School District,2007-08,1462,4807,30.4
280,"New Beginnings Inc., Family Academy District",2007-08,195,361,54
89,New Britain School District,2007-08,6651,10615,62.7
91,New Fairfield School District,2007-08,124,3046,4.1
92,New Hartford School District,2007-08,28,609,4.6
93,New Haven School District,2007-08,13381,18869,70.9
95,New London School District,2007-08,2123,2880,73.7
96,New Milford School District,2007-08,468,5012,9.3
94,Newington School District,2007-08,726,4549,16
97,Newtown School District,2007-08,146,5566,2.6
98,Norfolk School District,2007-08,18,164,11
99,North Branford School District,2007-08,260,2431,10.7
100,North Canaan School District,2007-08,64,359,17.8
101,North Haven School District,2007-08,320,3862,8.3
102,North Stonington School District,2007-08,136,805,16.9
103,Norwalk School District,2007-08,3150,10595,29.7
901,Norwich Free Academy,2007-08,533,2450,21.8
104,Norwich School District,2007-08,2160,3934,54.9
263,Odyssey Community School District,2007-08,37,177,20.9
106,Old Saybrook School District,2007-08,132,1609,8.2
107,Orange School District,2007-08,40,1371,2.9
108,Oxford School District,2007-08,121,1851,6.5
283,Park City Prep Charter School,2007-08,111,206,53.9
109,Plainfield School District,2007-08,788,2779,28.4
110,Plainville School District,2007-08,421,2560,16.4
111,Plymouth School District,2007-08,311,1893,16.4
112,Pomfret School District,2007-08,44,539,8.2
113,Portland School District,2007-08,144,1425,10.1
114,Preston School District,2007-08,57,504,11.3
116,Putnam School District,2007-08,571,1308,43.7
117,Redding School District,2007-08,14,1308,1.1
201,Regional School District 01,2007-08,67,561,11.9
204,Regional School District 04,2007-08,73,953,7.7
205,Regional School District 05,2007-08,46,2467,1.9
206,Regional School District 06,2007-08,81,1107,7.3
207,Regional School District 07,2007-08,43,1099,3.9
208,Regional School District 08,2007-08,51,1664,3.1
209,Regional School District 09,2007-08,5,962,0.5
210,Regional School District 10,2007-08,84,2844,3
211,Regional School District 11,2007-08,48,291,16.5
212,Regional School District 12,2007-08,34,1036,3.3
213,Regional School District 13,2007-08,104,2144,4.9
214,Regional School District 14,2007-08,120,2192,5.5
215,Regional School District 15,2007-08,100,4566,2.2
216,Regional School District 16,2007-08,212,2685,7.9
217,Regional School District 17,2007-08,82,2551,3.2
218,Regional School District 18,2007-08,49,1533,3.2
219,Regional School District 19,2007-08,78,1184,6.6
118,Ridgefield School District,2007-08,56,5535,1
119,Rocky Hill School District,2007-08,201,2603,7.7
121,Salem School District,2007-08,29,506,5.7
122,Salisbury School District,2007-08,25,307,8.1
123,Scotland School District,2007-08,44,190,23.2
124,Seymour School District,2007-08,373,2601,14.3
125,Sharon School District,2007-08,30,219,13.7
126,Shelton School District,2007-08,636,5644,11.3
127,Sherman School District,2007-08,10,456,2.2
270,Side By Side Community School District,2007-08,92,230,40
128,Simsbury School District,2007-08,183,4951,3.7
129,Somers School District,2007-08,75,1724,4.4
132,South Windsor School District,2007-08,268,4934,5.4
131,Southington School District,2007-08,559,6893,8.1
133,Sprague School District,2007-08,100,351,28.5
134,Stafford School District,2007-08,417,1905,21.9
282,Stamford Academy,2007-08,119,132,90.2
135,Stamford School District,2007-08,6066,14785,41
136,Sterling School District,2007-08,133,503,26.4
137,Stonington School District,2007-08,234,2508,9.3
138,Stratford School District,2007-08,2293,7375,31.1
139,Suffield School District,2007-08,123,2585,4.8
269,The Bridge Academy District,2007-08,199,261,76.2
902,The Gilbert School,2007-08,93,408,22.8
140,Thomaston School District,2007-08,174,1268,13.7
141,Thompson School District,2007-08,360,1477,24.4
142,Tolland School District,2007-08,107,3129,3.4
143,Torrington School District,2007-08,1466,4749,30.9
278,Trailblazers Academy District,2007-08,93,150,62
144,Trumbull School District,2007-08,234,6686,3.5
145,Union School District,2007-08,3,72,4.2
146,Vernon School District,2007-08,1021,3661,27.9
147,Voluntown School District,2007-08,54,309,17.5
148,Wallingford School District,2007-08,511,6772,7.5
151,Waterbury School District,2007-08,12866,17834,72.1
152,Waterford School District,2007-08,262,2930,8.9
153,Watertown School District,2007-08,405,3402,11.9
155,West Hartford School District,2007-08,1507,9992,15.1
156,West Haven School District,2007-08,2752,6376,43.2
154,Westbrook School District,2007-08,84,980,8.6
157,Weston School District,2007-08,17,2552,0.7
158,Westport School District,2007-08,107,5616,1.9
159,Wethersfield School District,2007-08,441,3810,11.6
160,Willington School District,2007-08,65,599,10.9
161,Wilton School District,2007-08,27,4362,0.6
162,Winchester School District,2007-08,378,1038,36.4
163,Windham School District,2007-08,2171,3302,65.7
165,Windsor Locks School District,2007-08,410,1832,22.4
164,Windsor School District,2007-08,1020,4090,24.9
166,Wolcott School District,2007-08,401,2919,13.7
167,Woodbridge School District,2007-08,28,786,3.6
903,Woodstock Academy,2007-08,38,1153,3.3
169,Woodstock School District,2007-08,89,946,9.4
279,Amistad Academy District,2006-07,307,403,76.2
1,Andover School District,2006-07,24,341,7
2,Ansonia School District,2006-07,1300,2726,47.7
244,Area Cooperative Educational Services,2006-07,576,1479,38.9
3,Ashford School District,2006-07,82,524,15.6
4,Avon School District,2006-07,82,3506,2.3
5,Barkhamsted School District,2006-07,19,336,5.7
7,Berlin School District,2006-07,190,3274,5.8
8,Bethany School District,2006-07,11,557,2
9,Bethel School District,2006-07,234,3230,7.2
11,Bloomfield School District,2006-07,987,2238,44.1
12,Bolton School District,2006-07,57,915,6.2
13,Bozrah School District,2006-07,70,273,25.6
14,Branford School District,2006-07,444,3517,12.6
15,Bridgeport School District,2006-07,20004,21072,94.9
17,Bristol School District,2006-07,2683,9018,29.8
18,Brookfield School District,2006-07,90,3031,3
19,Brooklyn School District,2006-07,187,1022,18.3
21,Canaan School District,2006-07,11,101,10.9
22,Canterbury School District,2006-07,72,546,13.2
23,Canton School District,2006-07,60,1729,3.5
241,Capitol Region Education Council,2006-07,718,2342,30.7
24,Chaplin School District,2006-07,44,211,20.9
25,Cheshire School District,2006-07,171,5139,3.3
26,Chester School District,2006-07,16,335,4.8
27,Clinton School District,2006-07,166,2117,7.8
28,Colchester School District,2006-07,205,3242,6.3
29,Colebrook School District,2006-07,16,121,13.2
30,Columbia School District,2006-07,23,636,3.6
268,Common Ground High School District,2006-07,105,145,72.4
900,Connecticut Technical High School System,2006-07,3206,10026,32
243,Cooperative Educational Services,2006-07,134,412,32.5
31,Cornwall School District,2006-07,7,129,5.4
32,Coventry School District,2006-07,217,2034,10.7
33,Cromwell School District,2006-07,210,2008,10.5
284,Cross Cultural Academy,2006-07,50,50,100
34,Danbury School District,2006-07,2955,9715,30.4
35,Darien School District,2006-07,87,4614,1.9
36,Deep River School District,2006-07,43,378,11.4
37,Derby School District,2006-07,629,1461,43.1
40,East Granby School District,2006-07,12,934,1.3
41,East Haddam School District,2006-07,76,1406,5.4
42,East Hampton School District,2006-07,162,2087,7.8
43,East Hartford School District,2006-07,3658,7330,49.9
44,East Haven School District,2006-07,1000,3703,27
45,East Lyme School District,2006-07,153,3163,4.8
47,East Windsor School District,2006-07,300,1520,19.7
39,Eastford School District,2006-07,23,173,13.3
46,Easton School District,2006-07,4,1149,0.3
48,Ellington School District,2006-07,112,2535,4.4
289,Elm City College Preparatory School,2006-07,270,368,73.4
49,Enfield School District,2006-07,1423,6387,22.3
50,Essex School District,2006-07,18,550,3.3
272,Explorations District,2006-07,10,83,12
51,Fairfield School District,2006-07,567,9372,6
52,Farmington School District,2006-07,208,4199,5
53,Franklin School District,2006-07,15,238,6.3
54,Glastonbury School District,2006-07,259,6766,3.8
56,Granby School District,2006-07,77,2278,3.4
57,Greenwich School District,2006-07,700,8959,7.8
58,Griswold School District,2006-07,423,2216,19.1
59,Groton School District,2006-07,1435,5238,27.4
60,Guilford School District,2006-07,137,3782,3.6
62,Hamden School District,2006-07,1760,6167,28.5
63,Hampton School District,2006-07,15,165,9.1
64,Hartford School District,2006-07,15551,22147,70.2
65,Hartland School District,2006-07,2,227,0.9
67,Hebron School District,2006-07,40,1204,3.3
277,Highville Mustard Seed Charter School District,2006-07,113,299,37.8
264,Integrated Day Charter School District,2006-07,82,319,25.7
265,Interdistrict School for Arts and Comm District,2006-07,100,181,55.2
261,Jumoke Academy District,2006-07,325,325,100
68,Kent School District,2006-07,29,270,10.7
69,Killingly School District,2006-07,918,2696,34.1
